News_Title	Description	Date	Article_URL
Chitale Bandhu"s 75th Anniversary: Sachin Tendulkar reflects on cricket and connection to Pune	Talking about his connection to Pune, Tendulkar said, “My sister’s husband is here. My sister lives in Pune after she got married, so somewhere or the other I believe I am also a Punekar."	February 2, 2025	https://indianexpress.com/article/cities/pune/chitale-bandhu-anniversary-sachin-tendulkar-on-cricket-pune-9813702/
India vs England LIVE Cricket Score, 5th T20I: Abhishek Sharma scores 50, IND 118/1 vs ENG in Mumbai	IND vs ENG 5th T20I Live Cricket Score, India vs England Test Live Score Online Today Match: India clinched the series 3-1 before the fifth and last match on Sunday in Mumbai at 7:00 PM IST	Updated: February 2, 2025	https://indianexpress.com/article/sports/cricket/ind-vs-eng-5th-t20i-live-score-india-vs-england-live-cricket-scorecard-updates-wankhede-stadium-9813268/
U19 cricket world champion Trisha"s tale: How a father buying a plastic bat for his 2-yr-old daughter started a dream	Rami Reddy started training Trisha from the age of two, planned her diet and built a pitch to train her quitting his job, culminating in her U19 all-round heroics - 3 wickets, 44 runs to beat South Africa U19.	Updated: February 2, 2025	https://indianexpress.com/article/sports/cricket/trisha-gongadi-story-father-dream-u19-world-cup-2025-india-champion-9813406/
3 held for black-marketing India vs Eng cricket match tickets	Police constable Sunil Kshirsat of the Anti-human trafficking cell lodged an FIR in the case at the Dehu road police station on Saturday.	Updated: February 2, 2025	https://indianexpress.com/article/cities/pune/india-vs-england-cricket-match-tickets-black-marketing-arrest-9813685/
India averts first of Trump’s tariff volleys; China, Mexico &amp; Canada take the initial hit	Trump’s first executive order on February 1 to impose trade tariffs did not mention India, signalling that bilateral trade negotiations may be on the cards later this month when Prime Minister Narendra Modi is scheduled to visit the US.	Updated: February 2, 2025	https://indianexpress.com/article/business/india-donald-trump-tariffs-china-mexico-canada-9813179/
Wriddhiman Saha retires: An artist with gloves, a fighter with bat	Often seen as the bridge between Dhoni era and Pant era, Saha's classical mould left a lasting impression on Indian cricket	Updated: February 2, 2025	https://indianexpress.com/article/sports/cricket/wriddhiman-saha-retires-artist-with-gloves-fighter-with-bat-9813665/
Ranji Trophy: Suryakumar Yadav and Shivam Dube confirm their availability for Mumbai"s quarterfinal match	Ranji Trophy: Though Suryakumar Yadav has been going through a series of low scores in the ongoing T20Is against England with scores of 0, 14, 12, 0, his presence will be a big boost for the Mumbai side.	February 2, 2025	https://indianexpress.com/article/sports/cricket/ranji-trophy-quarterfinal-mumbai-suryakumar-yadav-dube-available-9813673/
Discovering disposable cameras and finding joy in film photography all over again	A single-use, disposable cameras are perfect for certain situations where you don’t want to worry about exposure settings.	Updated: February 2, 2025	https://indianexpress.com/article/technology/gadgets/discovering-disposable-cameras-and-falling-in-love-with-film-photography-all-over-again-9813011/
2 foreign nationals among five injured after being hit by Mercedes Benz at airport	An officer from the local police station said that the driver of the car, identified as Parshuram Dadanavre (34), was arrested on charges of rash and negligent driving.	Updated: February 2, 2025	https://indianexpress.com/article/cities/mumbai/mercedes-benz-accident-airport-9813663/
35-year-old woman fakes pregnancy, kidnaps infant from Safdarjung Hospital	The newborn, it turned out, was not Neetu’s son -- she had allegedly kidnapped the child, a four-month-old, from Safdarjung Hospital. 	February 2, 2025	https://indianexpress.com/article/cities/delhi/woman-fakes-pregnancy-kidnaps-infant-safdarjung-hospital-9813657/
Passenger from Brazil held at Mumbai airport for smuggling cocaine	An official said that on the night of January 27, customs officers intercepted a passenger arriving from Sao Paulo (Brazil) via Paris, based on profiling and specific input.	February 2, 2025	https://indianexpress.com/article/cities/mumbai/mumbai-airport-customs-cocaine-smuggling-brazil-passenger-arrest-9813646/
Duke of Edinburgh Prince Edward arrives in Mumbai: First Royal visit to India since 2019	Prince Edward is slated to meet Maharashtra Governor C P Radhakrishnan besides visiting a cricket stadium in Mumbai on Sunday.	Updated: February 2, 2025	https://indianexpress.com/article/india/duke-of-edinburgh-prince-edward-first-royal-visit-to-india-since-2019-9813620/
2 criminals attack police during weapon recovery in Punjab, get injured as cops fire back	The two accused had been arrested in a case of firing at a shopkeeper at the Main Bazar in Dera Baba Nanak last month.	Updated: February 2, 2025	https://indianexpress.com/article/cities/chandigarh/criminals-attack-police-weapon-recovery-punjab-injured-cops-9813605/
2006 Mumbai train blast: Why Bombay HC took over 9 years to conclude hearings on death sentence confirmations, appeals	On July 11, 2006, bomb blasts in Mumbai local train coaches killed 189 people. Why were hearings related to sentencing in the case delayed?	February 2, 2025	https://indianexpress.com/article/explained/explained-law/2006-mumbai-blast-hc-hearing-death-sentence-9813627/
